Product ID;Product Name;Model Number;Language Code;Store (Store 1 :: Store 2);Description;Meta Title;Meta Description;Meta Keyword;Tag;Product Image;SKU;UPC;EAN;JAN;ISBN;MPN;Location;Price;Minimum Quantity;Quantity;"Status 
(Enabled=1/Disabled=0)";Sort Order;Tax Class ID;Tax Class;"Subtract 
(Yes=1/No=0)";Stock Status ID;Stock Status;"Shipping Required 
(Yes=1/No=0)";"SEO Keyword 
(unique to store and without space)";Date Available (YYYY-MM-DD);Length;Length Class ID;Length Class;Width;Height;Weight;Weight Class ID;Weight Class;Manufacturer ID;Manufacturer;"Categories 
Category ID 1, Category ID 2";"Categories Name 
Category 1 :: Category 2";"Filter 
Group Name - Value :: Group Name - Value";"Download 
Download 1 :: Download 2";"Related Products 
Product ID 1, Product ID 2";"Attribute 
Name::Group::Value; Name::Group::Value";"Options 
Option Name 1 :: Type 1 :: Required 1 :: value 1.1 ^^ Value 1.2 ^^ Value 1.3 || value 1.1 ^^ Value 1.2 ^^ Value 1.3 ;; 
Option Name 2 :: Type 2 :: Required 2 :: value 2.1 ^^ Value 2.2 ^^ Value 2.3 || value 1.1 ^^ Value 1.2 ^^ Value 1.3 ;;";"Discount 
CustomerGroup::Quantity::Priority::Price::DateStart::DateEnd;";"Special 
CustomerGroup::Priority::Price::DateStart::DateEnd;";"Additional Images 
Image1 :: Image2";Reward Points;"Reward CustomerGroup::Points;";Viewed;Date Added (YYYY-MM-DD HH:MM:SS);Date Modified (YYYY-MM-DD HH:MM:SS);"Reviews 
(CustomerID::Author::Text::
Rating::Status::DateAdded::DateModified;;)";;;;;
2410010000;Brochettes d?abas;2410010000;fr-fr;0;Brochettes d?abas;Brochettes d?abas;Brochettes d?abas;Brochettes d?abas;Brochettes d?abas;catalog/PRODUIT/LAZINIERE/2410010000-1.jpg;Brochettes d?abas;;;2410010000;;;;1,99;;1;1;;12;;1;7;;;Brochettes d?abas;;;;;;;;;;19;;226,474,489;;Proximit‚ PGC - Proximit‚;;;;;;;;;;;2009-02-03 16:59:01;2009-02-03 16:59:01;;;;;;
2410010001;Brochettes de veau;2410010001;fr-fr;0;Brochettes de veau;Brochettes de veau;Brochettes de veau;Brochettes de veau;Brochettes de veau;catalog/PRODUIT/LAZINIERE/2410010001-1.jpg;Brochettes de veau;;;2410010001;;;;2,65;;1;1;;12;;1;7;;;Brochettes de veau;;;;;;;;;;19;;226,474,489;;Proximit‚ PGC - Proximit‚;;;;;;;;;;;2009-02-03 16:59:02;2009-02-03 16:59:02;;;;;;
2410010002;Brochettes de b?uf;2410010002;fr-fr;0;Brochettes de b?uf;Brochettes de b?uf;Brochettes de b?uf;Brochettes de b?uf;Brochettes de b?uf;catalog/PRODUIT/LAZINIERE/2410010002-1.jpg;Brochettes de b?uf;;;2410010002;;;;2,27;;1;1;;12;;1;7;;;Brochettes de b?uf;;;;;;;;;;19;;226,474,489;;Proximit‚ PGC - Proximit‚;;;;;;;;;;;2009-02-03 16:59:03;2009-02-03 16:59:03;;;;;;
2410010003;Brochettes de porc / pruneaux;2410010003;fr-fr;0;Brochettes de porc / pruneaux;Brochettes de porc / pruneaux;Brochettes de porc / pruneaux;Brochettes de porc / pruneaux;Brochettes de porc / pruneaux;catalog/PRODUIT/LAZINIERE/2410010003-1.jpg;Brochettes de porc / pruneaux;;;2410010003;;;;2,18;;1;1;;12;;1;7;;;Brochettes de porc / pruneaux;;;;;;;;;;19;;226,475,489;;Proximit‚ PGC - Proximit‚;;;;;;;;;;;2009-02-03 16:59:04;2009-02-03 16:59:04;;;;;;
2410010004;R“ti de dinde;2410010004;fr-fr;0;R“ti de dinde;R“ti de dinde;R“ti de dinde;R“ti de dinde;R“ti de dinde;catalog/PRODUIT/LAZINIERE/2410010004-1.jpg;R“ti de dinde;;;2410010004;;;;13,18;;1;1;;12;;1;7;;;R“ti de dinde;;;;;;;;;;19;;226,476,489;;Proximit‚ PGC - Proximit‚;;;;;;;catalog/PRODUIT/LAZINIERE/2410010004-2.jpg;;;;2009-02-03 16:59:05;2009-02-03 16:59:05;;;;;;
2410010005;R“ti de veau;2410010005;fr-fr;0;R“ti de veau;R“ti de veau;R“ti de veau;R“ti de veau;R“ti de veau;;R“ti de veau;;;2410010005;;;;24,93;;1;0;;12;;1;7;;;R“ti de veau;;;;;;;;;;19;;226,474,489;;Proximit‚ PGC - Proximit‚;;;;;;;;;;;2009-02-03 16:59:06;2009-02-03 16:59:06;;;;;;
2410010006;R“ti de porc;2410010006;fr-fr;0;R“ti de porc;R“ti de porc;R“ti de porc;R“ti de porc;R“ti de porc;catalog/PRODUIT/LAZINIERE/2410010006-1.jpg;R“ti de porc;;;2410010006;;;;12,23;;1;1;;12;;1;7;;;R“ti de porc;;;;;;;;;;19;;226,474,489;;Proximit‚ PGC - Proximit‚;;;;;;;;;;;2009-02-03 16:59:07;2009-02-03 16:59:07;;;;;;
2410010007;R“ti de b?uf;2410010007;fr-fr;0;R“ti de b?uf;R“ti de b?uf;R“ti de b?uf;R“ti de b?uf;R“ti de b?uf;;R“ti de b?uf;;;2410010007;;;;23,7;;1;0;;12;;1;7;;;R“ti de b?uf;;;;;;;;;;19;;226,474,489;;Proximit‚ PGC - Proximit‚;;;;;;;;;;;2009-02-03 16:59:08;2009-02-03 16:59:08;;;;;;
2410010008;Epaule d?agneau roul‚e;2410010008;fr-fr;0;Epaule d?agneau roul‚e;Epaule d?agneau roul‚e;Epaule d?agneau roul‚e;Epaule d?agneau roul‚e;Epaule d?agneau roul‚e;;Epaule d?agneau roul‚e;;;2410010008;;;;18,48;;1;0;;12;;1;7;;;Epaule d?agneau roul‚e;;;;;;;;;;19;;226,475,489;;Proximit‚ PGC - Proximit‚;;;;;;;;;;;2009-02-03 16:59:09;2009-02-03 16:59:09;;;;;;
2410010009;Entrec“tes de b?uf;2410010009;fr-fr;0;Entrec“tes de b?uf;Entrec“tes de b?uf;Entrec“tes de b?uf;Entrec“tes de b?uf;Entrec“tes de b?uf;catalog/PRODUIT/LAZINIERE/2410010009-1.jpg;Entrec“tes de b?uf;;;2410010009;;;;24,45;;1;1;;12;;1;7;;;Entrec“tes de b?uf;;;;;;;;;;19;;226,474,489;;Proximit‚ PGC - Proximit‚;;;;;;;;;;;2009-02-03 16:59:10;2009-02-03 16:59:10;;;;;;
